title,country,year,genre,duration,age_rating,jury_score
Summer Forest 62,Norway,2018,Documentary,121,12,6.5
Northern Harbor 63,Italy,2022,Documentary,108,12,6.2
Silent District 64,Norway,2019,Family,122,12,7.2
Last Station 65,Spain,2019,Animation,127,12,6.4
Midnight Harbor 66,India,2018,Comedy,97,12,5.5
Blue District 67,India,2017,Adventure,158,12,7.6
Cold Window 68,Norway,2025,Animation,150,12,6.4
Broken Garden 69,Japan,2022,Sci-Fi,167,12,8.2
Bright Garden 70,Poland,2021,Animation,97,12,6.3
Cold Archive 71,Korea,2018,Sci-Fi,97,12,6.6
Hidden Bridge 72,Mexico,2020,History,112,12,7.9
Distant Lights 73,Germany,2024,Thriller,117,12,6.2
Summer Orbit 74,Chile,2018,Mystery,145,12,6.8
Cold Orbit 75,Italy,2019,Family,95,12,8.7
Electric Village 76,Japan,2025,History,89,12,6.5
Neon Archive 77,Canada,2016,Mystery,104,0,9.2
Midnight Garden 78,Japan,2025,Drama,105,16,9.3
Northern Orbit 79,Japan,2017,Mystery,106,18,9.4
Bright Road 80,Mexico,2017,Documentary,107,6,9.5
Golden Ocean 81,Mexico,2026,Sci-Fi,108,6,8.0
Wild Harbor 82,Poland,2018,Documentary,109,16,8.1
Northern District 83,France,2021,Documentary,110,0,8.2
Broken Lights 84,Canada,2019,History,111,18,8.3
Distant Village 85,China,2024,History,112,16,8.4
Paper Orbit 86,Chile,2016,History,113,6,8.5
Northern Village 87,France,2019,Comedy,114,12,8.6
Wild Ocean 88,Germany,2025,Mystery,115,16,8.7
Last Garden 89,Mexico,2026,Drama,116,0,8.8
Cold Ocean 90,Korea,2023,Documentary,117,12,8.9
Broken District 91,Spain,2023,Documentary,118,18,9.0
Midnight Bridge 92,Brazil,2022,Thriller,119,18,9.1
Paper Garden 93,Chile,2024,History,120,0,9.2
Summer Memory 94,China,2023,History,90,6,9.3
Cold Window 95,Brazil,2022,Drama,91,18,9.4
Neon Archive 96,France,2018,Mystery,92,12,9.5
Silent Forest 97,China,2018,Family,93,18,8.0
Golden District 98,Italy,2025,Adventure,94,18,8.1
Distant Lights 99,Norway,2024,Thriller,95,12,8.2
Electric Ocean 100,Poland,2016,Comedy,96,16,8.3
Wild Archive 101,Korea,2022,Family,97,0,8.4
Paper Lights 102,Spain,2021,Adventure,98,16,8.5
Northern Station 103,Germany,2019,Comedy,99,18,8.6
Distant River 104,Spain,2019,Sci-Fi,100,6,8.7
Last Window 105,Canada,2019,Adventure,101,16,8.8
Hidden Signal 106,India,2019,Drama,102,12,8.9
Blue Signal 107,Mexico,2023,Comedy,103,16,9.0
Wild Ocean 108,Mexico,2016,Sci-Fi,104,12,9.1
Cold Lights 109,Poland,2024,History,105,0,9.2
Cold Orbit 110,Korea,2017,History,106,16,9.3
Northern Ocean 111,Germany,2020,History,124,16,6.8
Electric Garden 112,Poland,2020,History,162,16,7.8
Blue Garden 113,Brazil,2023,Comedy,114,12,8.6
Cold Forest 114,Chile,2024,Documentary,155,16,7.0
Paper Orbit 115,Korea,2026,Animation,85,6,7.3
Paper Garden 116,India,2020,Drama,91,12,6.8
Neon Forest 117,Poland,2026,Thriller,77,16,8.7
Golden Harbor 118,China,2021,History,149,16,6.4
Last Bridge 119,Chile,2019,Comedy,102,16,6.5
Neon Bridge 120,Mexico,2022,Documentary,74,6,7.2
Electric Window 121,Poland,2021,Drama,147,6,7.5
Blue Road 122,Brazil,2017,Adventure,158,16,8.8
Wild Lights 123,Spain,2026,Mystery,120,6,8.4
Cold River 124,Chile,2025,Adventure,140,0,7.0
Wild Memory 125,Italy,2025,Thriller,144,18,6.2
Silent Forest 126,Chile,2020,History,141,18,7.9
Bright Lights 127,Brazil,2023,Documentary,103,16,8.8
Cold Archive 128,Norway,2023,Drama,110,0,7.5
Electric River 129,Chile,2019,Drama,101,0,8.4
Broken Window 130,Canada,2026,History,72,12,6.1
Golden Lights 131,Brazil,2024,Adventure,156,0,5.4
Wild Harbor 132,China,2026,Thriller,155,18,8.5
Broken Signal 133,Brazil,2026,Drama,114,0,8.6
Silent Orbit 134,Germany,2023,Adventure,157,12,7.6
Midnight Harbor 135,Germany,2021,Sci-Fi,140,18,9.4
Blue Signal 136,Brazil,2018,Adventure,143,0,7.8
Bright Archive 137,France,2019,Mystery,162,18,7.1
Paper District 138,France,2016,Documentary,151,16,5.8
Last Memory 139,China,2017,Family,73,18,9.3
Blue Station 140,Germany,2022,Documentary,103,12,7.6
Golden Orbit 141,Spain,2017,Animation,115,12,8.7
Summer Memory 142,Chile,2023,Documentary,132,12,9.0
Northern Ocean 143,India,2018,Family,152,12,8.0
Golden Road 144,France,2025,Documentary,162,6,9.5
Last District 145,Chile,2023,History,72,12,9.2
Last Memory 146,Chile,2021,Thriller,156,18,6.1
Paper Station 147,Norway,2025,Family,116,18,8.6
Paper Bridge 148,Chile,2021,Drama,120,0,7.4
Blue Window 149,France,2017,Family,123,12,8.9
Bright Archive 150,Spain,2020,Drama,146,18,7.4
Midnight Road 151,China,2020,History,151,12,7.2
Bright Lights 152,Spain,2019,Adventure,128,6,8.9
Golden Memory 153,Canada,2024,Sci-Fi,135,12,6.9
Midnight Garden 154,India,2017,Animation,159,0,7.6
Summer Road 155,Spain,2020,History,104,18,6.8
Broken River 156,Poland,2022,Sci-Fi,167,6,6.6
Broken Lights 157,Germany,2026,Comedy,129,12,6.9
Northern Garden 158,Italy,2021,Family,162,6,6.7
Electric River 159,Germany,2019,Documentary,134,12,7.5
Blue Forest 160,India,2023,Sci-Fi,151,18,5.8
Distant Road 161,Spain,2024,Animation,111,0,7.0
Electric Bridge 162,Poland,2022,History,133,16,6.7
Northern Window 163,Canada,2020,Family,143,6,7.6
Silent Lights 164,France,2016,Thriller,147,6,7.2
Silent Window 165,Italy,2021,Family,144,12,8.0
Paper District 166,Chile,2017,History,83,18,5.4
Golden Archive 167,Germany,2016,History,149,0,8.1
Silent Ocean 168,France,2016,Animation,140,0,9.7
Golden Road 169,Norway,2017,Animation,112,0,7.1
Northern Road 170,Italy,2019,Comedy,103,18,6.8
Neon Forest 171,Japan,2024,Adventure,87,12,8.0
Broken Archive 172,Japan,2021,Thriller,89,16,6.0
Broken Village 173,Norway,2016,Family,87,16,8.4
Cold Station 174,Canada,2016,Family,122,6,6.7
Hidden Road 175,Germany,2019,Sci-Fi,81,16,7.6
Last Bridge 176,China,2026,Animation,152,16,6.7
Wild Forest 177,Spain,2020,Mystery,76,0,6.8
Summer District 178,France,2017,Mystery,73,18,8.2
Bright River 179,Brazil,2022,Mystery,88,6,7.2
Summer Ocean 180,Spain,2021,Adventure,101,12,6.8
Golden Lights 181,Norway,2025,Comedy,123,12,7.4
Neon Road 182,Germany,2023,Thriller,146,0,8.2
Blue Ocean 183,Brazil,2017,Adventure,119,12,6.2
Cold Garden 184,France,2020,History,124,0,7.8
Paper Road 185,Spain,2016,Family,163,0,7.9
Silent Station 186,France,2023,Comedy,135,16,6.3
Last Ocean 187,Canada,2019,Mystery,160,18,7.5
Silent Memory 188,Brazil,2019,Comedy,102,0,5.7
Cold Orbit 189,Germany,2022,Thriller,163,0,5.7
Broken District 190,Germany,2016,History,86,18,9.8
Wild Station 191,Poland,2019,Family,85,0,8.1
Bright Forest 192,China,2026,Documentary,101,18,8.2
Silent Archive 193,Norway,2018,Mystery,72,12,5.7
Electric District 194,Canada,2023,Sci-Fi,114,12,6.9
Broken Lights 195,India,2025,Thriller,120,18,7.8
Cold River 196,Brazil,2020,Sci-Fi,131,12,8.0
Neon River 197,Poland,2026,Mystery,72,0,5.8
Silent Road 198,Italy,2026,History,84,6,8.8
Midnight Lights 199,Italy,2016,Sci-Fi,131,16,6.6
Wild Harbor 200,Canada,2026,Drama,79,12,8.3
Cold River 201,Poland,2018,Thriller,117,18,7.3
Northern Window 202,Japan,2019,History,94,12,7.6
Paper Village 203,Mexico,2023,Sci-Fi,153,16,4.3
Paper Forest 204,Germany,2023,History,97,16,5.1
Bright Ocean 205,Japan,2021,Documentary,132,0,5.9
Paper Bridge 206,Spain,2021,Adventure,144,0,7.7
Last Harbor 207,France,2020,Thriller,150,6,9.0
Neon Garden 208,Chile,2025,Documentary,122,12,6.3
Last Garden 209,Mexico,2022,Family,74,0,9.1
Cold Bridge 210,Germany,2017,Thriller,121,0,7.1
Hidden Garden 211,Mexico,2021,Mystery,82,16,8.2
Blue Ocean 212,Germany,2019,Documentary,107,0,9.3
Electric Bridge 213,Poland,2022,History,112,0,6.9
Broken Archive 214,Japan,2019,Drama,111,0,9.4
Northern Ocean 215,Germany,2022,Documentary,166,18,8.3
Distant Memory 216,Germany,2026,Sci-Fi,80,18,7.0
Northern Station 217,Japan,2019,Sci-Fi,126,16,6.8
Blue Ocean 218,Spain,2020,Animation,114,18,6.6
Distant River 219,Japan,2020,Animation,74,0,6.3
Last Station 220,Korea,2019,Thriller,104,18,7.6
Neon Signal 221,France,2023,Documentary,143,16,7.2
Midnight Forest 222,Canada,2016,Documentary,161,12,8.3
Cold Memory 223,Japan,2021,Family,125,12,8.3
Neon Memory 224,France,2024,History,125,0,6.4
Midnight Signal 225,India,2026,Animation,86,0,9.6
Electric Signal 226,Japan,2022,Sci-Fi,99,6,7.0
Electric Station 227,Norway,2024,Drama,154,6,9.1
Hidden Window 228,Mexico,2023,Sci-Fi,134,6,7.3
Neon Garden 229,Japan,2025,Comedy,105,16,7.3
Electric Harbor 230,Germany,2017,Documentary,83,6,8.2
Hidden Lights 231,Norway,2025,Sci-Fi,140,16,6.2
Neon Road 232,Brazil,2021,Drama,88,6,8.5
Cold Orbit 233,Italy,2017,Comedy,72,12,5.5
Summer Lights 234,Spain,2022,Mystery,111,0,8.5
Last Archive 235,China,2018,History,160,6,5.8
Cold Harbor 236,Korea,2025,Animation,111,0,6.8
Blue Village 237,Germany,2025,Drama,102,16,9.8
Electric River 238,China,2024,Documentary,144,12,8.3
Hidden Bridge 239,Brazil,2021,Drama,104,12,7.4
Wild River 240,Poland,2025,Sci-Fi,101,16,7.1
